Mother_presence,T
1,2.2
1,2.7
0,1
0,1.9
0,2.6
1,-2.30
1,-0.85
0,0.60
0,1.50
1,2.40
0,2.10
0,1.80
1,2.40
1,2.60
1,3.90
1,5.75
1,-2.30
0,-1.30
0,-0.30
0,0.00
0,0.30
1,-0.45
0,-1.20
0,-2.40
0,-3.60
1,-7.90
0,-6.40
0,-4.90
0,-2.20
0,0.50
1,0.90
0,1.30
0,0.35
0,-0.60
0,-2.10
0,-3.60
0,-9.10
0,-7.65
1,-6.20
0,-2.90
0,0.40
0,2.10
0,-3.75
0,-2.60
0,2.00
0,2.30
0,2.60
0,2.10
1,1.60
1,1.35
1,4.10
0,3.65
0,3.20
1,11.20
1,8.10
1,8.50
1,8.90
1,8.10
1,7.30
0,4.30
1,6.10
1,4.50
1,6.50
1,8.50
1,9.30
1,9.30
1,7.45
1,5.60
1,0.50
0,0.70
0,0.90
0,0.80
0,0.70
0,-1.30
0,-7.30
0,-5.75
0,-4.20
0,-1.60
1,1.00
0,1.05
0,1.10
0,0.20
0,-1.30
0,-2.05
0,-2.80
1,1.40
1,1.70
1,-3.30
1,-2.80
1,-2.30
1,-0.75
1,0.80
1,1.15
1,1.50
