Mother_presence,T,U,Wind,Wave_height,Ice_state,Cloud_cover
1,-2.3,47,4,1,3,15
0,0.6,53,5,1,3,40
1,2.4,62,4,2,1,60
0,1.8,61,4,3,1,70
1,2.4,87,4,3,0,100
1,2.6,34,3,0,1,85
1,3.9,84,3,0,3,100
1,-2.3,62,4,0,3,0
0,-0.3,54,4,0,3,5
0,0.3,45,4,0,3,60
0,-1.2,43,4,0,3,65
0,-3.6,51,2,0,3,0
1,-7.9,72,0,0,4,5
0,-4.9,61,2,0,4,5
0,0.5,45,3,0,4,20
0,1.3,40,4,0,3,65
0,-0.6,36,4,0,3,45
0,-3.6,49,1,0,3,5
0,-9.1,71,1,0,4,0
1,-6.2,61,1,0,4,0
0,2.1,27,2,0,4,5
0,-2.6,54,2,1,0,95
1,2,46,4,1,3,70
0,2.6,49,4,2,0,15
1,1.6,58,5,2,0,5
1,4.1,69,2,2,0,75
1,11.2,31,4,1,2,90
1,8.1,53,3,0,1,95
1,8.9,47,2,0,2,100
1,7.3,57,1,0,2,100
0,4.3,70,0,0,1,100
1,8.5,42,2,1,0,40
1,9.3,42,4,2,0,65
1,5.6,70,1,2,0,90
1,0.5,33,4,1,3,50
0,0.9,25,3,0,3,75
0,0.7,27,3,0,3,25
0,-4.2,49,2,0,4,0
1,1,31,2,0,4,85
0,1.1,29,3,0,3,80
0,0.2,32,3,0,3,15
0,-2.8,39,1,0,4,0
1,1.4,55,2,1,0,95
1,1.7,39,4,2,0,45
1,-3.3,59,1,0,1,90
1,-2.3,62,0,0,1,95
1,0.8,40,1,0,2,90
1,1.5,38,3,1,0,100
1,2.20,93,5,2,2,100
0,1.00,89,3,2,2,100
0,1.90,91,3,2,2,100
1,2.60,95,2,2,2,100
